,lon_fit,lat_fit,ele_fit,dist,slope50m,Date,EOS_no,VaisalaType,Flux_ave,CO2_ppm_ave,adjusted_ppm,AirTemp_c,WaterTemp_c,Total_hPa,surface_area,flux_umolpers,Totalflux_umolpers,DOC,TDN,Wetland,dist_ANTE,dist_GAVI,dist_COLM,dist_GAVItrib1,dist_GAVItrib2,dist_GAVItrib3,CatchmentSize2_m2,k600_old,air_pressure_atm,VaporPressure_atm,TotalAir_atm,Total_air_MolperL,CO2_air_MolesPerLiter,CO2_water_gCO2asCPerLiter,WaterTemp_K,KH_mol.L.atm,deltaCO2_gCO2asCperM3,Flux_gCO2asCperM2perDay,k_m.d,Sc,K600.effective
25,-78.20103024,-0.329534,4087.790096,668.2828087,-0.107620416,6/18/21,EOS1,new,0.915,685.215,760.3268293,7.841,7.9255,626.9214,12.63412761,11.56022676,139.3924654,2.791,0.1907,Gavi-mainstem,NA,668.2828087,NA,NA,NA,NA,829215,59.40154356,0.618723337,0.010604688,0.608118649,0.026374142,1.10E-05,0.000520734,281.0755,0.057073488,0.022197701,0.948672,42.73739933,1171.325254,59.71332012
24,-78.20087673,-0.329343,4090.21018,640.9930065,-0.124645295,6/18/21,EOS1,new,0.99,715.9692308,794.6122934,7.844,8.009,626.7724,18.05663567,17.87606931,127.8322387,NA,NA,Gavi-mainstem,NA,640.9930065,NA,NA,NA,NA,827595,60.82660324,0.618576285,0.010606856,0.607969429,0.026367389,1.10E-05,0.000542837,281.159,0.056928942,0.023401715,1.026432,43.86140111,1165.399957,61.12858943
28,-78.20170784,-0.330135,4078.392053,769.4444454,-0.07879792,6/18/21,EOS1,new,2.665,774.4938462,859.3492507,7.825,7.745,626.9584,15.50002221,41.30755918,189.3181805,NA,NA,Gavi-mainstem,NA,769.4444454,NA,NA,NA,NA,834084,146.4089423,0.618759853,0.010593131,0.608166722,0.026377729,1.10E-05,0.000591791,280.895,0.057387501,0.026396575,2.763072,104.6753971,1184.251734,147.0587961
43,-78.20384313,-0.331605,4053.85749,1059.218742,-0.232784334,6/22/21,EOS1,new,-0.035,400.201,443.9843501,6.759,8.755,627.0644,0,0,276.4872894,NA,NA,Gavi-mainstem,NA,1059.218742,NA,NA,NA,NA,1079568,-5.349218485,0.618864467,0.009847734,0.609016733,0.026515193,1.10E-05,0.000296532,281.905,0.055657394,0.009129211,-0.036288,-3.974932864,1113.967839,-5.416147698
42,-78.20378211,-0.331577,4055.615043,1051.743607,-0.202660934,6/22/21,EOS1,new,0.025,428.5969231,475.4753116,6.76,8.6585,627.0824,12.5829504,0.31457376,276.4872894,3.747,0.1204,Gavi-mainstem,NA,1051.743607,NA,NA,NA,NA,1078560,3.374696037,0.618882232,0.009848411,0.60903382,0.026515842,1.10E-05,0.000318492,281.8085,0.055819889,0.010381465,0.02592,2.496757361,1120.470356,3.411936181
33,-78.20255286,-0.330722,4073.785545,883.9961547,-0.079471699,6/22/21,EOS1,new,0.025,546.2615385,605.5983241,6.728,7.6175,627.5844,10.76234768,0.269058692,222.598178,NA,NA,Gavi-mainstem,NA,883.9961547,NA,NA,NA,NA,887103,2.202658233,0.619377667,0.009826769,0.609550898,0.026541389,1.11E-05,0.000418667,280.7675,0.057610596,0.01647828,0.02592,1.572979694,1193.480427,2.218478078
39,-78.20327396,-0.331311,4065.992125,987.7886879,-0.06732321,6/22/21,EOS1,new,0.17,511.7616667,567.7224979,6.751,8.4675,627.1004,13.32632985,2.265476075,248.434002,3.698,0.128,Gavi-mainstem,NA,987.7886879,NA,NA,NA,NA,1071243,17.12160027,0.618899996,0.00984232,0.609057676,0.026517733,1.10E-05,0.000382485,281.6175,0.05614324,0.014033881,0.176256,12.55931973,1133.471497,17.26218605
35,-78.20272262,-0.330864,4071.983226,908.6259036,-0.075188874,6/22/21,EOS1,new,0.25,546.0692308,605.5399379,6.735,7.7205,627.3954,11.85005149,2.962512872,225.5606909,NA,NA,Gavi-mainstem,NA,908.6259036,NA,NA,NA,NA,887472,22.12689405,0.619191139,0.009831499,0.609359639,0.026532397,1.10E-05,0.000417316,280.8705,0.057430287,0.016351723,0.2592,15.85154032,1186.018785,22.28648762
37,-78.20295142,-0.331068,4068.714959,942.7503274,-0.08755671,6/22/21,EOS1,new,0.26,520.74,577.62168,6.745,8.18675,627.1784,20.34761312,5.290379411,242.7033531,NA,NA,Gavi-mainstem,NA,942.7503274,NA,NA,NA,NA,887940,25.18903785,0.618976976,0.009838261,0.609138715,0.02652183,1.10E-05,0.000392478,281.33675,0.056622742,0.014718407,0.269568,18.31502542,1152.900576,25.38796136
38,-78.20326454,-0.331305,4066.015629,986.5435796,-0.070473284,6/22/21,EOS1,new,0.43,484.6728,537.6402185,6.748,8.3405,627.1434,8.058541546,3.465172865,246.1685259,NA,NA,Gavi-mainstem,NA,986.5435796,NA,NA,NA,NA,888309,46.81505229,0.618942434,0.00984029,0.609102144,0.026519954,1.10E-05,0.000363614,281.4905,0.056359524,0.013023725,0.445824,34.23168184,1142.213178,47.23089716
40,-78.20359633,-0.331489,4062.590527,1028.845743,-0.071414603,6/22/21,EOS1,new,0.75,420.7692308,466.8255368,6.756,8.67725,627.0284,36.98495148,27.73871361,276.1727156,NA,NA,Gavi-mainstem,NA,1028.845743,NA,NA,NA,NA,1078146,104.5562049,0.618828938,0.009845704,0.608983234,0.026514019,1.10E-05,0.000312521,281.82725,0.05578827,0.010042977,0.7776,77.42723951,1119.203452,105.7481239
36,-78.20288583,-0.33101,4070.018455,933.0006551,-0.07694649,6/22/21,EOS1,new,1.315,525.76,583.1253581,6.739,7.90075,627.2604,9.013142807,11.85228279,237.4129737,NA,NA,Gavi-mainstem,NA,933.0006551,NA,NA,NA,NA,887643,124.0030947,0.619057904,0.009834204,0.6092237,0.026526099,1.10E-05,0.000399672,281.05075,0.057116419,0.015256416,1.363392,89.36515599,1173.088167,124.9562316
113,-78.2031338,-0.330699873,4068.707018,17.17957104,-0.070233576,6/23/21,EOS1,old,0.5,1335.5,2019.293163,6.763,10.8625,627.0124,NA,NA,NA,NA,NA,GAVItrib2,NA,NA,NA,NA,17.17957104,NA,165654,11.17986914,0.618813147,0.009850442,0.608962705,0.026512462,1.10E-05,0.001266098,284.0125,0.052250053,0.059230907,0.5184,8.75218738,982.5674772,11.20010707
108,-78.20193958,-0.329581213,4079.741435,124.3400115,-0.167415614,6/23/21,EOS1,old,0.585,1282.230769,1924.716274,6.754,8.7735,627.7474,NA,NA,NA,NA,NA,GAVItrib1,NA,NA,NA,124.3400115,NA,NA,12330,12.86521525,0.619538536,0.00984435,0.609694186,0.026545162,1.11E-05,0.001284778,281.9235,0.055626309,0.064088271,0.606528,9.463947066,1112.726286,12.88815798
114,-78.20310205,-0.330560773,4069.821719,1.292980166,-0.071061924,6/23/21,EOS1,old,0.655,2365.384615,3573.983273,6.761,10.638,627.0104,NA,NA,NA,1.835,0.07048,GAVItrib2,NA,NA,NA,NA,1.292980166,NA,170406,7.824631271,0.618811173,0.009849088,0.608962085,0.026512624,1.10E-05,0.00225592,283.788,0.052600511,0.11169329,0.679104,6.080078778,995.6337225,7.832192988
111,-78.20218,-0.3301748,4075.106,199.872,-0.04555216,6/23/21,EOS1,old,0.68,1551.462,2334.253,6.754,9.3875,627.3444,NA,NA,NA,NA,NA,GAVItrib1,NA,NA,NA,199.872,NA,NA,12771,12.33748073,0.619140805,0.00984435,0.609296456,0.026527845,1.10E-05,0.00152959,282.5375,0.054606682,0.076286599,0.705024,9.241780476,1072.429103,12.35561362
109,-78.20192275,-0.329803013,4077.422521,149.4211764,-0.069212205,6/23/21,EOS1,old,0.82,1740.538462,2613.968845,6.754,8.904,627.6564,NA,NA,NA,NA,NA,GAVItrib1,NA,NA,NA,149.4211764,NA,NA,12663,12.94853484,0.619448726,0.00984435,0.609604376,0.026541252,1.11E-05,0.001738006,282.054,0.055407642,0.088949709,0.850176,9.557940214,1104.014202,12.96510429
106,-78.20184918,-0.329317413,4082.058608,91.6882921,-0.243600852,6/23/21,EOS1,old,0.93,1264.25,1895.811472,6.751,8.46625,627.7894,NA,NA,NA,NA,NA,GAVItrib1,NA,NA,NA,91.6882921,NA,NA,12231,20.58581758,0.619579986,0.00984232,0.609737666,0.026547339,1.11E-05,0.001277292,281.61625,0.056145364,0.064265366,0.964224,15.00378923,1133.557159,20.62277205
107,-78.20194027,-0.329460713,4080.116025,110.8084104,-0.217263559,6/23/21,EOS1,old,1.015,3024.461538,4538.995188,6.753,8.67125,627.6234,NA,NA,NA,3.651,0.2276,GAVItrib1,NA,NA,NA,110.8084104,NA,NA,12285,8.857393433,0.619416157,0.009843673,0.609572484,0.026539958,1.11E-05,0.003039223,281.82125,0.055798386,0.162183166,1.052352,6.48866355,1119.60868,8.863653269
112,-78.20227,-0.3304933,4073.206,238.1902,-0.04497947,6/23/21,EOS1,old,1.335,3367.385,5068.857,6.754,9.54925,627.3704,NA,NA,NA,3.446,0.1113,GAVItrib1,NA,NA,NA,238.1902,NA,NA,14985,10.67381185,0.619166465,0.00984435,0.609322116,0.026528962,1.10E-05,0.003305417,282.69925,0.054341926,0.172418324,1.384128,8.027731431,1062.102921,10.68071954
110,-78.20203,-0.3299719,4075.916,171.9825,-0.07761806,6/23/21,EOS1,old,1.34,1606.462,2415.417,6.755,9.226,627.5004,NA,NA,NA,NA,NA,GAVItrib1,NA,NA,NA,171.9825,NA,NA,12708,23.29813887,0.619294766,0.009845027,0.609449739,0.026534424,1.11E-05,0.001590483,282.376,0.054872621,0.079997696,1.389312,17.36690025,1082.858823,23.33095974
115,-78.20318554,-0.331215773,4063.573561,74.94060768,-0.092194522,6/23/21,EOS1,old,2.28,927.3846154,1404.899821,6.775,11.45275,626.9454,NA,NA,NA,2.786,0.07962,GAVItrib2,NA,NA,NA,NA,74.94060768,NA,175878,78.77457951,0.618747023,0.00985857,0.608888453,0.026508093,1.10E-05,0.00086557,284.60275,0.051342322,0.037638968,2.363904,62.80469754,949.2196287,78.99504638
116,-78.20316861,-0.330963273,4066.646854,46.7681834,-0.069849753,6/23/21,EOS1,old,2.59,964.6923077,1460.886328,6.772,11.34625,626.9774,NA,NA,NA,NA,NA,GAVItrib2,NA,NA,NA,NA,46.7681834,NA,182466,85.15618893,0.618778605,0.009856538,0.608922067,0.02650984,1.10E-05,0.000902909,284.49625,0.051504655,0.039680683,2.685312,67.67302793,955.1304254,85.38298297
45,-78.20095407,-0.327118239,4108.997299,11.47265193,-0.121260087,6/29/21,EOS1,new,0.105,1870.216923,2074.690358,7.196,7.8905,627.1124,NA,NA,NA,NA,NA,GAVItrib3,NA,NA,NA,NA,NA,11.47265193,1764,2.062398038,0.618911839,0.01014751,0.608764329,0.026462889,1.10E-05,0.00142243,281.0405,0.057134211,0.07371364,0.108864,1.476850156,1173.819149,2.065672191
7,-78.19961798,-0.325100711,4131.933789,102.5957333,-0.080285831,6/29/21,EOS2,new,0.105,1095.706154,1215.550548,7.198,8.0465,627.0824,8.173777615,0.85824665,52.36571557,NA,NA,Gavi-mainstem,NA,102.5957333,NA,NA,NA,NA,404613,3.811281674,0.618882232,0.0101489,0.608733331,0.026461353,1.10E-05,0.000829455,281.1965,0.056864173,0.039646688,0.108864,2.745853584,1162.750066,3.822477493
10,-78.19970624,-0.325621711,4115.551479,161.9119878,-0.302172249,6/29/21,EOS2,new,0.16,447.5353846,496.5489676,7.206,8.3385,626.9874,14.71210559,2.353936894,60.09346915,NA,NA,Gavi-mainstem,NA,161.9119878,NA,NA,NA,NA,409014,19.74497002,0.618788474,0.010154463,0.608634011,0.026456281,1.10E-05,0.000335844,281.4885,0.056362938,0.011477235,0.165888,14.45365531,1142.351465,19.94352582
103,-78.20158192,-0.328979313,4094.147599,42.33414533,-0.163903771,6/29/21,EOS1,new,0.205,7189.789231,7979.266913,7.239,8.90575,626.7964,NA,NA,NA,4.961,0.1887,GAVItrib1,NA,NA,NA,42.33414533,NA,NA,10269,1.005503553,0.618599972,0.010177438,0.608422533,0.026443975,1.10E-05,0.005305068,282.05575,0.055404717,0.286604014,0.212544,0.741594637,1103.897918,1.0059014
105,-78.20173101,-0.329209813,4088.244061,73.89428625,-0.214118625,6/29/21,EOS1,new,0.345,3144.36,3489.783353,7.249,8.95075,626.7634,NA,NA,NA,4.558,0.1381,GAVItrib1,NA,NA,NA,73.89428625,NA,NA,11934,4.00419653,0.618567403,0.010184409,0.608382994,0.026441314,1.10E-05,0.002317058,282.10075,0.055329566,0.120890706,0.357696,2.958837887,1100.9127,4.007947156
8,-78.19968867,-0.325347711,4122.520919,131.2083596,-0.261886504,6/29/21,EOS2,new,0.54,830.9692308,921.9810527,7.2,8.16175,626.9834,9.800188328,5.292101697,57.65781727,NA,NA,Gavi-mainstem,NA,131.2083596,NA,NA,NA,NA,405378,27.5907783,0.618784526,0.010150291,0.608634235,0.026456857,1.10E-05,0.000626936,281.31175,0.056665685,0.028033691,0.559872,19.97139831,1154.649234,27.70498275
14,-78.19981325,-0.326028711,4110.967611,209.8900981,-0.100180571,6/29/21,EOS2,new,0.61,1268.172308,1407.279904,7.215,8.53225,626.8724,0,0,67.17646907,NA,NA,Gavi-mainstem,NA,209.8900981,NA,NA,NA,NA,415575,18.97159282,0.618674978,0.010160724,0.608514253,0.026450226,1.10E-05,0.000946256,281.68225,0.056033364,0.045615257,0.632448,13.86483466,1129.044484,19.01930296
48,-78.20077071,-0.327339039,4106.817377,43.70607485,-0.081164342,6/29/21,EOS1,new,0.905,4475.566154,4965.087468,7.198,8.0465,627.0824,NA,NA,NA,2.645,0.09103,GAVItrib3,NA,NA,NA,NA,NA,43.70607485,5364,7.050875072,0.618882232,0.0101489,0.608733331,0.026461353,1.10E-05,0.003388027,281.1965,0.056864173,0.185137756,0.938304,5.068139648,1162.750066,7.055310543
104,-78.20162978,-0.329106913,4091.655974,57.79782241,-0.171374415,6/29/21,EOS1,new,1.15,10096.79091,11206.38178,7.244,8.972,626.7364,NA,NA,NA,NA,NA,GAVItrib1,NA,NA,NA,57.79782241,NA,NA,11304,3.995551281,0.618540756,0.010180923,0.608359833,0.026440779,1.10E-05,0.007435764,282.122,0.055294122,0.403847765,1.19232,2.952399649,1099.506314,3.996670856
3,-78.19960236,-0.324359711,4140.191773,19.106936,-0.555014309,6/29/21,EOS2,new,1.22,1403.332308,1556.697444,7.196,7.82575,627.1424,10.65707876,13.00163609,13.30866492,4.093,0.1337,Gavi-mainstem,NA,19.106936,NA,NA,NA,NA,387549,32.97096513,0.618941447,0.01014751,0.608793937,0.026464176,1.10E-05,0.001069391,280.97575,0.057246759,0.053648142,1.264896,23.57762903,1178.448845,33.04303059
100,-78.20152703,-0.328625413,4101.086326,0,NA,6/29/21,EOS1,new,1.26,4793.089231,5319.166243,7.224,8.6925,626.8284,NA,NA,NA,NA,NA,GAVItrib1,NA,NA,NA,0,NA,NA,5391,9.326281545,0.618631553,0.010166989,0.608464564,0.026447217,1.10E-05,0.003559325,281.8425,0.05576257,0.191107095,1.306368,6.835790171,1118.174269,9.331852061
101,-78.20152703,-0.328625413,4101.086326,0,NA,6/29/21,EOS1,new,1.675,10000,11095.729,7.22,8.6375,626.9514,NA,NA,NA,NA,NA,GAVItrib1,NA,NA,NA,0,NA,NA,5265,5.818495616,0.618752945,0.010164204,0.60858874,0.026452992,1.10E-05,0.007437067,281.7875,0.055855328,0.408015948,1.73664,4.256304217,1121.891276,5.820126465
11,-78.1997043,-0.325738711,4113.203688,174.9453207,-0.252016049,6/29/21,EOS2,NA,1.91,NA,NA,NA,NA,NA,3.453270498,6.595746651,66.6892158,3.44,0.1274,Gavi-mainstem,NA,174.9453207,NA,NA,NA,NA,410922,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.980288,NA,NA,NA
5,-78.19962914,-0.324821711,4135.922456,71.25378084,-0.068276008,6/29/21,EOS2,new,2.605,1002.355385,1111.944302,7.196,7.8905,627.1124,11.34903755,29.56424283,45.63476455,NA,NA,Gavi-mainstem,NA,71.25378084,NA,NA,NA,NA,401220,104.5928916,0.618911839,0.01014751,0.608764329,0.026462889,1.10E-05,0.000762361,281.0405,0.057134211,0.036001128,2.700864,75.02164995,1173.819149,104.9328772
102,-78.20159759,-0.328829913,4098.724497,25.57649902,-0.092343717,6/29/21,EOS1,new,3.005,10000,11098.654,7.232,8.75275,626.7564,NA,NA,NA,NA,NA,GAVItrib1,NA,NA,NA,25.57649902,NA,NA,9486,10.47279946,0.618560495,0.010172561,0.608387934,0.026443132,1.10E-05,0.00741317,281.90275,0.055661176,0.405270292,3.115584,7.687669346,1114.118949,10.47574337
9,-78.19970056,-0.325404711,4121.711353,137.6898395,-0.259402388,6/30/21,EOS2,old,0.015,362.1538462,544.0804486,6.828,8.57975,626.2084,5.447665385,0.081714981,57.73953225,NA,NA,Gavi-mainstem,NA,137.6898395,NA,NA,NA,NA,408771,1.619567021,0.618019661,0.009894541,0.60812512,0.026469849,1.10E-05,0.000365315,281.72975,0.055952928,0.013038952,0.015552,1.192733907,1125.809643,1.633805758
118,NA,NA,NA,NA,NA,6/30/21,,,0.075,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Gavi-mainstem,NA,NA,NA,NA,NA,NA,422847,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13,-78.19970834,-0.325780711,4111.502335,179.6446348,-0.231993127,6/30/21,EOS2,old,0.09,615.6153846,924.8185183,6.823,8.5275,626.0904,5.413925258,0.487253273,67.17646907,NA,NA,Gavi-mainstem,NA,179.6446348,NA,NA,NA,NA,411138,4.645642506,0.617903204,0.009891143,0.608012061,0.026465401,1.10E-05,0.000621938,281.6775,0.056041415,0.02744233,0.093312,3.400294331,1129.368563,4.665076109
1,-78.19960552,-0.324216711,4148.748203,3.043758344,-0.672915826,6/30/21,EOS2,old,0.09,377.5384615,566.4882038,6.786,8.15625,626.1104,3.411431448,0.30702883,0.30702883,8.737,0.2291,Gavi-mainstem,NA,3.043758344,NA,NA,NA,NA,387225,8.957161411,0.617922942,0.009866027,0.608056916,0.026470851,1.10E-05,0.00038527,281.30625,0.056675138,0.014337911,0.093312,6.508061268,1155.034348,9.02970282
44,-78.20095874,-0.327111639,4109.03935,10.57274833,-0.127979954,6/30/21,EOS1,new,0.105,1651.496923,1834.589139,6.823,8.5275,626.0904,NA,NA,NA,NA,NA,GAVItrib3,NA,NA,NA,NA,NA,10.57274833,1107,2.415054981,0.617903204,0.009891143,0.608012061,0.026465401,1.10E-05,0.001233756,281.6775,0.056041415,0.061729476,0.108864,1.763565908,1129.368563,2.419546186
16,-78.19987476,-0.326342711,4108.094689,247.8121141,-0.067558,6/30/21,EOS2,old,0.145,540.6153846,811.6096596,6.809,8.36025,626.2334,0,0,67.17646907,NA,NA,Gavi-mainstem,NA,247.8121141,NA,NA,NA,NA,415665,8.79789029,0.618044334,0.009881633,0.608162701,0.026473281,1.10E-05,0.000548575,281.51025,0.056325822,0.023447166,0.150336,6.411691633,1140.848633,8.841195929
120,NA,NA,NA,NA,NA,6/30/21,,,0.225,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Gavi-mainstem,NA,NA,NA,NA,NA,NA,441837,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,-78.19965015,-0.324669711,4135.948116,54.1434052,-0.242255107,6/30/21,EOS2,old,0.235,525.6153846,788.703259,6.801,8.2105,626.2524,11.75258215,2.761856806,16.07052172,NA,NA,Gavi-mainstem,NA,54.1434052,NA,NA,NA,NA,398250,14.7183602,0.618063085,0.009876202,0.608186883,0.026475091,1.10E-05,0.000535517,281.3605,0.056581983,0.022814428,0.243648,10.67955766,1151.242172,14.79316103
46,-78.20091729,-0.327175439,4108.933292,19.04367862,-0.074974896,6/30/21,EOS1,new,0.255,1201.129231,1334.11874,6.768,8.31275,626.1864,NA,NA,NA,NA,NA,GAVItrib3,NA,NA,NA,NA,NA,19.04367862,2943,8.375493296,0.617997948,0.009853828,0.60814412,0.02647635,1.10E-05,0.000903042,281.46275,0.05640692,0.043474473,0.264384,6.081361822,1144.13364,8.397762645
6,-78.19961549,-0.325087711,4132.130382,101.1217373,-0.076410518,6/30/21,EOS2,old,0.295,412.1538462,619.022998,6.829,8.50775,626.2664,19.90747246,5.872704375,51.50746892,NA,NA,Gavi-mainstem,NA,101.1217373,NA,NA,NA,NA,403992,26.15373114,0.618076902,0.009895221,0.608181681,0.026472216,1.10E-05,0.00041654,281.65775,0.056074907,0.01593916,0.305856,19.1889666,1130.717205,26.34225576
119,NA,NA,NA,NA,NA,6/30/21,,,0.395,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Gavi-mainstem,NA,NA,NA,NA,NA,NA,441513,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15,-78.19985739,-0.326101711,4109.616035,219.3833764,-0.099231679,6/30/21,EOS2,old,0.43,525.6153846,789.0074568,6.768,8.31275,626.1864,0,0,67.17646907,7.943,0.2281,Gavi-mainstem,NA,219.3833764,NA,NA,NA,NA,415584,27.02870378,0.617997948,0.009853828,0.60814412,0.02647635,1.10E-05,0.000534066,281.46275,0.05640692,0.022661641,0.445824,19.67306805,1144.13364,27.16657236
47,-78.200883,-0.327227939,4108.933102,26.02592192,-0.054400195,6/30/21,EOS1,new,0.465,1814.661538,2015.453656,6.809,8.36025,626.2334,NA,NA,NA,NA,NA,GAVItrib3,NA,NA,NA,NA,NA,26.02592192,4293,9.5799289,0.618044334,0.009881633,0.608162701,0.026473281,1.10E-05,0.001362265,281.51025,0.056325822,0.069278926,0.482112,6.958999374,1140.848633,9.595888332
83,-78.19221589,-0.317135145,4314.845122,42.12155203,-0.178442174,7/5/21,EOS2,old,0.055,755.0769231,1132.429194,6.662,8.53875,627.8904,4.09954063,0.225474735,4.734350404,3.059,0.09726,ANTE,42.12155203,NA,NA,NA,NA,NA,5517,2.213767014,0.619679666,0.009782264,0.609897402,0.02656274,1.11E-05,0.000761296,281.68875,0.056022348,0.03521293,0.057024,1.619405167,1128.601184,2.22100812
